"","DAB","DCD","DFG","DGN","DHJ","DLM","DMT","DNO","DOL","DQS","DSH","DTU","DUF","DVX","DZA"
"DAB",1,0.00575545889899389,0.00780837295298468,0.00470075988684897,0.0111964127997826,0.00616880923970552,0.00983210495733815,0.00807515100206763,0.005338467597252,0.00572301791813987,0.0139006428147001,0.0175143756281614,0.00546530034158127,0.00448210540558825,0.00562751757365137
"DCD",0.00575545889899389,1,0.00830921298757556,0.00132732041194908,0.00665606684125203,0.0043805296982622,0.00572645442994936,0.00497867659829027,0.00213693003635556,0.0052993612690391,0.00436596278124797,0.00823428882156452,0.00557513489835334,0.00177917955560947,0.00523547400611621
"DFG",0.00780837295298468,0.00830921298757556,1,0.00172356134077637,0.0098781983987453,0.00906052430233963,0.0111777689739091,0.0122198674302205,0.00214571344972203,0.00731659910034986,0.0134283275329963,0.0172774076317383,0.00974928223788249,0.00642857142857143,0.00799542096696299
"DGN",0.00470075988684897,0.00132732041194908,0.00172356134077637,1,0.0025930076691498,0.00122056406333914,0.00398580133990768,0.00240577385725742,0.00300353074624958,0.00518389043195096,0.00184918841175262,0.0023340645885414,0.00121951219512195,0.00489129718256009,0.00204075596699299
"DHJ",0.0111964127997826,0.00665606684125203,0.0098781983987453,0.0025930076691498,1,0.00643627140139505,0.00939961449682317,0.00935397543956181,0.00474867704340539,0.00743337515095379,0.0124425391946725,0.0197232666185611,0.0112836240495815,0.00316922642647266,0.00840287520067107
"DLM",0.00616880923970552,0.0043805296982622,0.00906052430233963,0.00122056406333914,0.00643627140139505,1,0.00641013934291506,0.00679278069586509,0.00180236882760199,0.00655549784170085,0.00988159886050031,0.00452622840653042,0.00424788114062722,0.00331290376014577,0.00240601503759398
"DMT",0.00983210495733815,0.00572645442994936,0.0111777689739091,0.00398580133990768,0.00939961449682317,0.00641013934291506,1,0.00913770734225248,0.0027752575118749,0.00861026207972947,0.0087227320140894,0.0110104080574895,0.00727412489857507,0.00579217336176589,0.00942852911654847
"DNO",0.00807515100206763,0.00497867659829027,0.0122198674302205,0.00240577385725742,0.00935397543956181,0.00679278069586509,0.00913770734225248,1,0.00293711126468556,0.00573925430786511,0.0146186509351399,0.0109937454502236,0.00626670492125093,0.00114313585026445,0.00695067659117704
"DOL",0.005338467597252,0.00213693003635556,0.00214571344972203,0.00300353074624958,0.00474867704340539,0.00180236882760199,0.0027752575118749,0.00293711126468556,1,0.00202302057900244,0.00249360476364496,0.0022708028635209,0.00130427049779657,0.00493218249075216,0.00208895042386262
"DQS",0.00572301791813987,0.0052993612690391,0.00731659910034986,0.00518389043195096,0.00743337515095379,0.00655549784170085,0.00861026207972947,0.00573925430786511,0.00202302057900244,1,0.00629164131708982,0.00463496242663595,0.00506385776434876,0.00423536744291461,0.00648042171102478
"DSH",0.0139006428147001,0.00436596278124797,0.0134283275329963,0.00184918841175262,0.0124425391946725,0.00988159886050031,0.0087227320140894,0.0146186509351399,0.00249360476364496,0.00629164131708982,1,0.00815357788685094,0.0101464867996359,0.00265375949261454,0.00735796397134883
"DTU",0.0175143756281614,0.00823428882156452,0.0172774076317383,0.0023340645885414,0.0197232666185611,0.00452622840653042,0.0110104080574895,0.0109937454502236,0.0022708028635209,0.00463496242663595,0.00815357788685094,1,0.00471562655865061,0.00415325670498084,0.00764639401003037
"DUF",0.00546530034158127,0.00557513489835334,0.00974928223788249,0.00121951219512195,0.0112836240495815,0.00424788114062722,0.00727412489857507,0.00626670492125093,0.00130427049779657,0.00506385776434876,0.0101464867996359,0.00471562655865061,1,0.011183141689932,0.0118370092914159
"DVX",0.00448210540558825,0.00177917955560947,0.00642857142857143,0.00489129718256009,0.00316922642647266,0.00331290376014577,0.00579217336176589,0.00114313585026445,0.00493218249075216,0.00423536744291461,0.00265375949261454,0.00415325670498084,0.011183141689932,1,0.00538593040569107
"DZA",0.00562751757365137,0.00523547400611621,0.00799542096696299,0.00204075596699299,0.00840287520067107,0.00240601503759398,0.00942852911654847,0.00695067659117704,0.00208895042386262,0.00648042171102478,0.00735796397134883,0.00764639401003037,0.0118370092914159,0.00538593040569107,1
