"","DAB","DCD","DFG","DGN","DHJ","DLM","DMT","DNO","DOL","DQS","DSH","DTU","DUF","DVX","DZA"
"DAB",1,0.00819590371059981,0.00690787739082616,0.00677458714034391,0.00688462605576095,0.00379681067902961,0.00954269610986029,0.0056312184628039,0.00329168693779954,0.00486836900067634,0.0126991013842187,0.0107237076648841,0.00703735378103756,0.00278020903053081,0.00483585395721049
"DCD",0.00819590371059981,1,0.00955022588360351,0.00147337889751146,0.00930411919368975,0.00540442138557987,0.00556946335814993,0.00684344097313381,0.00196076115330554,0.00638895810837002,0.00882578310361063,0.00742029976457059,0.00679392039366642,0.001854674182129,0.00602420022062879
"DFG",0.00690787739082616,0.00955022588360351,1,0.00145782861006254,0.0124085227640697,0.0102489019033675,0.00853265151402536,0.0111489354948778,0.0012773365472769,0.0217278673661032,0.0157732130928524,0.0152324176727496,0.0120817370950037,0.00410122228183776,0.00760159524236914
"DGN",0.00677458714034391,0.00147337889751146,0.00145782861006254,1,0.0024240652426806,0.00101939607670267,0.0049707826888304,0.00228993536472761,0.00366404948846062,0.00359670916223879,0.00185860704728265,0.00183984054715258,0.00100450670576098,0.00550384852964652,0.0025252156650951
"DHJ",0.00688462605576095,0.00930411919368975,0.0124085227640697,0.0024240652426806,1,0.00612865267699549,0.00766220023713299,0.0124895244789273,0.00272509265315021,0.0142894945752845,0.0124273373305123,0.0124636681609932,0.0087384761345975,0.0034901040088862,0.00721380795978884
"DLM",0.00379681067902961,0.00540442138557987,0.0102489019033675,0.00101939607670267,0.00612865267699549,1,0.00470542103715322,0.0080989418951738,0.0011262494329647,0.00509952958453358,0.00930004336216537,0.00323564929617714,0.00522403625538047,0.00204449439944188,0.0035682893139676
"DMT",0.00954269610986029,0.00556946335814993,0.00853265151402536,0.0049707826888304,0.00766220023713299,0.00470542103715322,1,0.00689837946543405,0.00167027716478043,0.00682938529220554,0.00709214070023668,0.00872761968906101,0.00657603495794479,0.00399814242384663,0.00653821006884351
"DNO",0.0056312184628039,0.00684344097313381,0.0111489354948778,0.00228993536472761,0.0124895244789273,0.0080989418951738,0.00689837946543405,1,0.00175636267232238,0.00695711223253399,0.0128881850972112,0.0088365133366585,0.00924749990493935,0.000730735504515176,0.00660168983553253
"DOL",0.00329168693779954,0.00196076115330554,0.0012773365472769,0.00366404948846062,0.00272509265315021,0.0011262494329647,0.00167027716478043,0.00175636267232238,1,0.00129064283941425,0.00136802132226337,0.00122667883836367,0.000820296478584403,0.00461691662391744,0.00137685794512083
"DQS",0.00486836900067634,0.00638895810837002,0.0217278673661032,0.00359670916223879,0.0142894945752845,0.00509952958453358,0.00682938529220554,0.00695711223253399,0.00129064283941425,1,0.00744464989369732,0.0132943138704415,0.00859829271310157,0.00308854238305428,0.00819450579153124
"DSH",0.0126991013842187,0.00882578310361063,0.0157732130928524,0.00185860704728265,0.0124273373305123,0.00930004336216537,0.00709214070023668,0.0128881850972112,0.00136802132226337,0.00744464989369732,1,0.00935924565880376,0.0105083828235706,0.00157094635419604,0.00503316728183156
"DTU",0.0107237076648841,0.00742029976457059,0.0152324176727496,0.00183984054715258,0.0124636681609932,0.00323564929617714,0.00872761968906101,0.0088365133366585,0.00122667883836367,0.0132943138704415,0.00935924565880376,1,0.00417169383039202,0.00308470816581173,0.00694317022510257
"DUF",0.00703735378103756,0.00679392039366642,0.0120817370950037,0.00100450670576098,0.0087384761345975,0.00522403625538047,0.00657603495794479,0.00924749990493935,0.000820296478584403,0.00859829271310157,0.0105083828235706,0.00417169383039202,1,0.00619743877015586,0.0106030982102572
"DVX",0.00278020903053081,0.001854674182129,0.00410122228183776,0.00550384852964652,0.0034901040088862,0.00204449439944188,0.00399814242384663,0.000730735504515176,0.00461691662391744,0.00308854238305428,0.00157094635419604,0.00308470816581173,0.00619743877015586,1,0.0031973203410475
"DZA",0.00483585395721049,0.00602420022062879,0.00760159524236914,0.0025252156650951,0.00721380795978884,0.0035682893139676,0.00653821006884351,0.00660168983553253,0.00137685794512083,0.00819450579153124,0.00503316728183156,0.00694317022510257,0.0106030982102572,0.0031973203410475,1
