"","EAB","EBY","ECD","EDV","EGN","EHJ","EJQ","ELM","EMT","EOL","EQS","ESH","ETU","EUF","EXC"
"EAB",1,0.0117195520667162,0.00591210200156706,0.00629993571494168,0.0072665429808287,0.00595290203974438,0.00351427889044321,0.00551489461564411,0.0068746930940583,0.00270119345999507,0.012067630356221,0.00183328285163162,0.00729878018087552,0.00202140855423347,0.0150713827152945
"EBY",0.0117195520667162,1,0.00462257896905739,0.00849516814126463,0.0040392271094281,0.00646213044691507,0.00340153584497243,0.00737740061207292,0.0041061323219805,0.00116028942050714,0.016524746337803,0.00432768107081952,0.00980724279277753,0.00259067357512953,0.0157305791993104
"ECD",0.00591210200156706,0.00462257896905739,1,0.00472265155418169,0.00544456340980021,0.00479636069951047,0.0036917852841885,0.00733410942956927,0.00228398690066336,0.00445443993035403,0.00560218944584244,0.00489073690766215,0.00439967581336112,0.00274034769252252,0.00701518520433666
"EDV",0.00629993571494168,0.00849516814126463,0.00472265155418169,1,0.00752629454640424,0.00611184679637364,0.0025706940874036,0.0143701431845202,0.0059858421819696,0.00161677890177697,0.00597348908653026,0.003928085813567,0.00972626090444199,0.00251757808987754,0.00660136286201022
"EGN",0.0072665429808287,0.0040392271094281,0.00544456340980021,0.00752629454640424,1,0.00433007985803017,0.00148697282503286,0.0101004654840855,0.00413905781973314,0.00126588140852463,0.00358565737051793,0.00182539682539683,0.00510118043844857,0.00150940548291542,0.00747367440126736
"EHJ",0.00595290203974438,0.00646213044691507,0.00479636069951047,0.00611184679637364,0.00433007985803017,1,0.00379010133367164,0.00794998136723117,0.00326824655095683,0.00149577627110332,0.00586703385518005,0.00482125531756101,0.00556499508971021,0.00133211103790071,0.00793470223536773
"EJQ",0.00351427889044321,0.00340153584497243,0.0036917852841885,0.0025706940874036,0.00148697282503286,0.00379010133367164,1,0.00210274790919952,0.00245696274145316,0.00156750780255,0.00263462957108231,0.00268218712199569,0.0030431013813836,0.00322185491584582,0.00636014310321982
"ELM",0.00551489461564411,0.00737740061207292,0.00733410942956927,0.0143701431845202,0.0101004654840855,0.00794998136723117,0.00210274790919952,1,0.00355274568495258,0.00197204624448443,0.0102208984109225,0.00343338630843504,0.0116761601211796,0.0043632791053833,0.00991418215160676
"EMT",0.0068746930940583,0.0041061323219805,0.00228398690066336,0.0059858421819696,0.00413905781973314,0.00326824655095683,0.00245696274145316,0.00355274568495258,1,0.00105828010806907,0.00321088352558055,0.00496111762109845,0.00217150103027421,0.00144468603616093,0.00152528958917908
"EOL",0.00270119345999507,0.00116028942050714,0.00445443993035403,0.00161677890177697,0.00126588140852463,0.00149577627110332,0.00156750780255,0.00197204624448443,0.00105828010806907,1,0.00249724373364505,0.000701707930623593,0.00112806262123234,0.0119352750809061,0.00150579541428355
"EQS",0.012067630356221,0.016524746337803,0.00560218944584244,0.00597348908653026,0.00358565737051793,0.00586703385518005,0.00263462957108231,0.0102208984109225,0.00321088352558055,0.00249724373364505,1,0.00442179666310512,0.00595351084574367,0.00311835577604536,0.0105638204775597
"ESH",0.00183328285163162,0.00432768107081952,0.00489073690766215,0.003928085813567,0.00182539682539683,0.00482125531756101,0.00268218712199569,0.00343338630843504,0.00496111762109845,0.000701707930623593,0.00442179666310512,1,0.0039535203520352,0.00127110664741699,0.00476168318520931
"ETU",0.00729878018087552,0.00980724279277753,0.00439967581336112,0.00972626090444199,0.00510118043844857,0.00556499508971021,0.0030431013813836,0.0116761601211796,0.00217150103027421,0.00112806262123234,0.00595351084574367,0.0039535203520352,1,0.00263006492972795,0.013194251426516
"EUF",0.00202140855423347,0.00259067357512953,0.00274034769252252,0.00251757808987754,0.00150940548291542,0.00133211103790071,0.00322185491584582,0.0043632791053833,0.00144468603616093,0.0119352750809061,0.00311835577604536,0.00127110664741699,0.00263006492972795,1,0.00227624375148774
"EXC",0.0150713827152945,0.0157305791993104,0.00701518520433666,0.00660136286201022,0.00747367440126736,0.00793470223536773,0.00636014310321982,0.00991418215160676,0.00152528958917908,0.00150579541428355,0.0105638204775597,0.00476168318520931,0.013194251426516,0.00227624375148774,1
