"","EAB","EBY","ECD","EDV","EGN","EHJ","EJQ","ELM","EMT","EOL","EQS","ESH","ETU","EUF","EXC"
"EAB",1,0.0107879317600596,0.00777479117893581,0.0117060500935394,0.00513503053644078,0.00615765593578088,0.00348497692380145,0.00989140602757555,0.00581859019221692,0.00185013876040703,0.0106324094345078,0.008945820757718,0.0101304693973711,0.00154175727871726,0.0156218931279232
"EBY",0.0107879317600596,1,0.00799036303287142,0.00844535096126279,0.00405222872579919,0.00556603130608628,0.00330909492011505,0.00649721071854557,0.00454369970005643,0.00127301814221042,0.0107378501677789,0.00658287175117171,0.0110056700379736,0.00258188967615091,0.0128343839182112
"ECD",0.00777479117893581,0.00799036303287142,1,0.00636213258684311,0.00575320792709864,0.00636059472902614,0.00445036915504512,0.00763804724079903,0.00334999607422335,0.00273641087288343,0.00654832486770614,0.00568864010863895,0.00624147013569547,0.00166595434761751,0.00734518677496346
"EDV",0.0117060500935394,0.00844535096126279,0.00636213258684311,1,0.00638265149184866,0.00808721003929522,0.00518169518198305,0.0169035153328347,0.00730192595532842,0.00191250478126195,0.00985180406973335,0.014435093491948,0.011831144062549,0.00206774969519228,0.00805109482691017
"EGN",0.00513503053644078,0.00405222872579919,0.00575320792709864,0.00638265149184866,1,0.00443499872658452,0.00263128822649165,0.00860514247436492,0.00524595803233574,0.00247760031164784,0.00949030016239152,0.00477404743089444,0.00476613481840856,0.0016390910339146,0.00575646694571307
"EHJ",0.00615765593578088,0.00556603130608628,0.00636059472902614,0.00808721003929522,0.00443499872658452,1,0.00400094759285094,0.00911751893432788,0.00444600623357575,0.000992160534369279,0.00872225880165769,0.00659733625250867,0.0104537604499396,0.00166289083655614,0.00881943494459689
"EJQ",0.00348497692380145,0.00330909492011505,0.00445036915504512,0.00518169518198305,0.00263128822649165,0.00400094759285094,1,0.00396455821663235,0.00238280948666741,0.0019926986276845,0.00446304529035843,0.00276310442909386,0.00311098989141367,0.00314405978867795,0.00480516419155379
"ELM",0.00989140602757555,0.00649721071854557,0.00763804724079903,0.0169035153328347,0.00860514247436492,0.00911751893432788,0.00396455821663235,1,0.00526697197672073,0.00148509091904544,0.0107142857142857,0.00864856358017626,0.0120123264719962,0.00252146603107819,0.00822664081450024
"EMT",0.00581859019221692,0.00454369970005643,0.00334999607422335,0.00730192595532842,0.00524595803233574,0.00444600623357575,0.00238280948666741,0.00526697197672073,1,0.00155266701475721,0.00354577757616996,0.00850189928408838,0.0049521195668387,0.00193900010481082,0.00310615033453867
"EOL",0.00185013876040703,0.00127301814221042,0.00273641087288343,0.00191250478126195,0.00247760031164784,0.000992160534369279,0.0019926986276845,0.00148509091904544,0.00155266701475721,1,0.00228869454250383,0.00079550833640141,0.0015790013329232,0.0111453689429607,0.00116128199797851
"EQS",0.0106324094345078,0.0107378501677789,0.00654832486770614,0.00985180406973335,0.00949030016239152,0.00872225880165769,0.00446304529035843,0.0107142857142857,0.00354577757616996,0.00228869454250383,1,0.00631922954565173,0.00824067919511753,0.00224539014598816,0.00888410820286044
"ESH",0.008945820757718,0.00658287175117171,0.00568864010863895,0.014435093491948,0.00477404743089444,0.00659733625250867,0.00276310442909386,0.00864856358017626,0.00850189928408838,0.00079550833640141,0.00631922954565173,1,0.00882420189202321,0.000756224584433188,0.0109426975932086
"ETU",0.0101304693973711,0.0110056700379736,0.00624147013569547,0.011831144062549,0.00476613481840856,0.0104537604499396,0.00311098989141367,0.0120123264719962,0.0049521195668387,0.0015790013329232,0.00824067919511753,0.00882420189202321,1,0.0033176274118033,0.00989251701748463
"EUF",0.00154175727871726,0.00258188967615091,0.00166595434761751,0.00206774969519228,0.0016390910339146,0.00166289083655614,0.00314405978867795,0.00252146603107819,0.00193900010481082,0.0111453689429607,0.00224539014598816,0.000756224584433188,0.0033176274118033,1,0.00157630986644499
"EXC",0.0156218931279232,0.0128343839182112,0.00734518677496346,0.00805109482691017,0.00575646694571307,0.00881943494459689,0.00480516419155379,0.00822664081450024,0.00310615033453867,0.00116128199797851,0.00888410820286044,0.0109426975932086,0.00989251701748463,0.00157630986644499,1
